Id,Burg,Province,Province Full Name,State,State Full Name,Culture,Religion,Population,X,Y,Latitude,Longitude,Elevation (ft),Temperature,Temperature likeness,Capital,Port,Citadel,Walls,Plaza,Temple,Shanty Town,Emblem,City Generator Link
25,Kanar,Kanar,Kanar Province,Lathanar,Dominion of Lathanar,Esla'rei,Deity of High Truth,2207,1508.5,777.5,27.21,26.85,397,66°F,Marrakesh,capital,port,citadel,walls,plaza,,,{t1:gules;division:{division:perBend;t:or;line:raguly};charges:[{charge:crossArrowed;t:argent;p:e;divided:counter;size:1.5}];shield:heater},https://watabou.github.io/city-generator/?name=Kanar&population=2207&size=12&seed=8563657060025&river=0&coast=1&farms=1&citadel=1&urban_castle=0&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1&sea=0.8
26,Manxovi,Manxovi,Manxovi Province,Inver-Khar,Twin Kingdoms of Inver-Khar,Ruvamian,Deities of Trade,9838,1069.5,221,54.26,5.36,52,50°F,London,capital,port,,walls,plaza,,shanty town,{t1:argent;charges:[{charge:unicornRampant;t:gules;p:e;size:1.5}];shield:heater},https://watabou.github.io/city-generator/?name=The+League+Capital&population=15660&size=10&seed=581594546&river=0&coast=1&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=1&shantytown=1&gates=-1&sea=1.02
27,Zanarg,Ardz,Ardz Province,Mildavem,Mildavemish Empire,Althonesh,Deities of Craft,19896,873.5,282,51.29,-4.23,1736,46°F,Prague,capital,port,,walls,plaza,,,{t1:bendy-argent-vert;charges:[{charge:greyhoundCourant;t:azure;p:e;size:1.5}];shield:heater},https://watabou.github.io/city-generator/?name=Zanarg&population=19896&size=26&seed=8563657060027&river=0&coast=1&farms=0&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1&sea=1.98
28,Monning,Weila Aldsa,Weila Aldsa Province,Abeia,The Union Sovereign Cities of the Abeian Strait,Kili'ini,Deities of Trade,13034,1177,608,35.45,10.62,210,63°F,Lisbon,capital,port,citadel,walls,plaza,,,{t1:or;division:{division:perFess;t:gules;line:straight};charges:[{charge:crossGamma;t:sable;p:k;size:0.7};{charge:mullet;t:argent;p:n;size:0.7}];shield:heater},https://watabou.github.io/city-generator/?name=Monning&population=13034&size=23&seed=8563657060028&river=0&coast=1&farms=1&citadel=1&urban_castle=1&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1&sea=1.92
29,Moncos,Old Moncosia,Old Moncosia,Moncosia,Kingdom of Moncosia,Saas'maean,Deities of Trade,12242,1211.5,729,29.57,12.31,210,66°F,Marrakesh,capital,port,citadel,walls,,temple,,{t1:ermine-argent-sable;charges:[{charge:crossMaltese;t:purpure;p:e;size:1.5}];shield:heater},https://watabou.github.io/city-generator/?name=Moncos&population=12242&size=22&seed=8563657060029&river=0&coast=1&farms=1&citadel=1&urban_castle=0&hub=false&plaza=0&temple=1&walls=1&shantytown=0&gates=-1&sea=1.14
30,Deii Mol,Ona,Ona Province,Shi'in,Kingdom of Shi'in,Kili'ini,Deities of Trade,16414,1184.5,494.5,40.97,10.99,554,57°F,Batumi,,port,citadel,,plaza,,,{t1:gules;ordinaries:[{ordinary:bend;t:or;line:straight}];charges:[{charge:eagle;t:gules;p:e;size:0.7}];shield:heater},https://watabou.github.io/city-generator/?name=Deii+Mol&population=16414&size=25&seed=8563657060030&river=1&coast=1&farms=1&citadel=1&urban_castle=1&hub=false&plaza=1&temple=0&walls=0&shantytown=0&gates=-1&sea=0.09
31,Agralma,Osnia,Osnia Province,Pareptul,Empire of Pareptul,Kili'ini,Deities of Trade,18171,1105.84,536.45,38.93,7.14,554,59°F,Rome,,port,citadel,walls,,temple,shanty town,{t1:barry-sable-argent;division:{division:perBend;t:or;line:straight};charges:[{charge:boat;t:gules;p:l;size:0.7};{charge:lozengeFaceted;t:gules;p:m;size:0.7}];shield:heater},https://watabou.github.io/city-generator/?name=Agralma&population=18171&size=26&seed=8563657060031&river=0&coast=1&farms=1&citadel=1&urban_castle=0&hub=false&plaza=0&temple=1&walls=1&shantytown=1&gates=-1&sea=1.39
32,O'asa,Vai,Vai Province,Abeia,The Union Sovereign Cities of the Abeian Strait,Kili'ini,Deities of Trade,22738,1233.82,621.43,34.8,13.41,13,63°F,Lisbon,,port,citadel,walls,plaza,temple,shanty town,{t1:azure;charges:[{charge:inescutcheon;t:argent;p:jln;size:0.7};{charge:fusil;t:purpure;p:jln;size:0.35}];shield:heater},https://watabou.github.io/city-generator/?name=O%27asa&population=22738&size=28&seed=8563657060032&river=0&coast=1&farms=1&citadel=1&urban_castle=1&hub=false&plaza=1&temple=1&walls=1&shantytown=1&gates=-1&sea=1.07
33,Bans,G'risia,G'risia Province,Pareptul,Empire of Pareptul,Kili'ini,Deities of Trade,14236,1017,531,39.19,2.79,30,59°F,Rome,,port,,,,,,{t1:sable;charges:[{charge:crosier;t:or;p:jln;size:0.7}];shield:heater},https://watabou.github.io/city-generator/?name=Bans&population=14236&size=23&seed=8563657060033&river=1&coast=1&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1&sea=0.48
34,Ckista Keshu,Imins,Imins Province,Salvania,Salvanian Kingdom,Kili'ini,Deities of Trade,18148,977,538.5,38.83,0.83,30,61°F,Dubrovnik,,port,citadel,walls,plaza,temple,shanty town,{t1:argent;ordinaries:[{ordinary:flaunches;t:purpure}];charges:[{charge:heart;t:gules;p:e;size:1.5}];shield:heater},https://watabou.github.io/city-generator/?name=Ckista+Keshu&population=18148&size=26&seed=8563657060034&river=0&coast=1&farms=1&citadel=1&urban_castle=1&hub=false&plaza=1&temple=1&walls=1&shantytown=1&gates=-1&sea=0.01
35,Ti'kallus,Tazi,Tazi Province,Esla,Eslan Empire,Esla'rei,Deities of the Realm,14166,1509,646,33.6,26.88,52,64°F,Barcelona,,,,,,,,{t1:azure;charges:[{charge:escallop;t:argent;p:jlh;size:0.7}];shield:heater},https://watabou.github.io/city-generator/?name=Ti%27kallus&population=14166&size=23&seed=8563657060035&river=1&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1
36,Ti'rui,Tazi,Tazi Province,Esla,Eslan Empire,Esla'rei,Deities of the Realm,12069,1379,650,33.41,20.51,266,63°F,Lisbon,capital,port,citadel,walls,plaza,,shanty town,{t1:azure;charges:[{charge:cavalier;t:or;p:e;size:1.5}];shield:heater},https://watabou.github.io/city-generator/?name=Ti%27rui&population=12069&size=22&seed=8563657060036&river=0&coast=1&farms=1&citadel=1&urban_castle=1&hub=false&plaza=1&temple=0&walls=1&shantytown=1&gates=-1&sea=0.77
37,Sheonan,Sheonan,Sheonan Commonwealth,Mesenolo,Mesenolan Republic,Maysiolian,Deities of Nature,15255,488,700,30.98,-23.11,210,66°F,Marrakesh,capital,port,citadel,,,,,{t1:sable;charges:[{charge:armillarySphere;t:argent;p:e;size:1.5}];shield:heater},https://watabou.github.io/city-generator/?name=Sheonan&population=15255&size=24&seed=8563657060037&river=0&coast=1&farms=1&citadel=1&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1&sea=0.14
38,Llan,Old Moncosia,Old Moncosia,Moncosia,Kingdom of Moncosia,Saas'maean,Deities of Trade,11611,1204.77,715.34,30.23,11.98,52,66°F,Marrakesh,,port,citadel,walls,plaza,temple,,{t1:gules;ordinaries:[{ordinary:cross;t:argent;line:potentyDexter}];charges:[{charge:inescutcheon;t:azure;p:behdf;size:0.3};{charge:mulletPierced;t:argent;p:behdf;size:0.15}];shield:heater},https://watabou.github.io/city-generator/?name=Llan&population=11611&size=22&seed=8563657060038&river=0&coast=1&farms=1&citadel=1&urban_castle=1&hub=false&plaza=1&temple=1&walls=1&shantytown=0&gates=-1&sea=1.55
39,Ti'yare,Ti'yare,Ti'yare Province,Esla,Eslan Empire,Esla'rei,Deities of the Realm,30162,1410.47,590.88,36.28,22.05,210,63°F,Lisbon,,port,citadel,walls,plaza,temple,shanty town,{t1:or;charges:[{charge:angel;t:gules;p:e;size:1.5}];shield:heater},https://watabou.github.io/city-generator/?name=Ti%27yare&population=28423&size=13&seed=936320457&river=0&coast=1&farms=1&citadel=1&urban_castle=0&hub=false&plaza=1&temple=0&walls=1&shantytown=1&gates=-1&sea=0.17
40,Ti'haaw,Tazi,Tazi Province,Esla,Eslan Empire,Esla'rei,Deity of High Truth,7810,1357.72,692.54,31.34,19.47,30,64°F,Barcelona,,port,citadel,walls,,temple,,{t1:argent;charges:[{charge:lionRampant;t:gules;p:def;size:0.5}];shield:heater},https://watabou.github.io/city-generator/?name=Ti%27haaw&population=7810&size=19&seed=8563657060040&river=0&coast=1&farms=1&citadel=1&urban_castle=1&hub=false&plaza=0&temple=1&walls=1&shantytown=0&gates=-1&sea=0.04
41,Ormlar,Eurodiria,Eurodiria Province,Sueiana,Great Union of Sueiana,Therini,Deities of Wisdom,1367,1663.68,596.87,35.99,34.45,1312,57°F,Batumi,capital,,,,plaza,,,{t1:masoned-argent-sable;division:{division:perBendSinister;t:azure;line:straight};ordinaries:[{ordinary:bar;t:purpure;line:straight}];shield:heater},https://watabou.github.io/village-generator/?pop=1367&name=&seed=8563657060041&width=1400&height=636&tags=highway%2Cdense
42,Lendateba,Mal'it,Mal'it Province,Irdre,Irdrean Consulate,Kili'ini,Deities of Trade,10197,977.27,619.96,34.87,0.85,2051,55°F,Milan,,port,,,plaza,,,{t1:purpure;charges:[{charge:eagle;t:or;p:e;size:1.5}];shield:heater},https://watabou.github.io/city-generator/?name=Lendateba&population=10197&size=21&seed=8563657060042&river=0&coast=1&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=0&shantytown=0&gates=-1&sea=1.76
43,Bozkada,Doyelu,Doyelu Province,Irdre,Irdrean Consulate,Maysiolian,Deities of Nature,14694,858.51,610.15,35.35,-4.97,397,61°F,Dubrovnik,,,citadel,,,,,{t1:gules;ordinaries:[{ordinary:terrace;t:or;line:straight}];charges:[{charge:sunInSplendour;t:or;p:e;size:1.5}];shield:heater},https://watabou.github.io/city-generator/?name=Bozkada&population=14694&size=24&seed=8563657060043&river=1&coast=0&farms=0&citadel=1&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1
44,Nanli,Nanli,Nanli Province,Lauyien,Kingdom of Lauyien,Vealian,Deity of High Truth,22435,1456.54,513.97,40.02,24.31,52,59°F,Rome,,port,citadel,walls,plaza,temple,shanty town,{t1:purpure;charges:[{charge:eagle;t:argent;p:e;t2:argent;t3:argent;size:1.5}];shield:heater},https://watabou.github.io/city-generator/?name=Nanli&population=22435&size=28&seed=8563657060044&river=1&coast=1&farms=1&citadel=1&urban_castle=1&hub=false&plaza=1&temple=1&walls=1&shantytown=1&gates=-1&sea=0.86
45,Linderira,Volaiy,Volaiy Province,Lauyien,Kingdom of Lauyien,Vealian,Deity of High Truth,16211,1461.3,415.84,44.79,24.54,13,57°F,Batumi,,,,,plaza,,,{t1:purpure;charges:[{charge:garb;t:or;p:def;t2:argent;size:0.5}];shield:heater},https://watabou.github.io/city-generator/?name=Linderira&population=16211&size=25&seed=8563657060045&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=0&shantytown=0&gates=-1
46,Olunaa,Leyano,Leyano Province,Lauyien,Kingdom of Lauyien,Vealian,Deity of High Truth,28846,1521.12,352.25,47.88,27.47,30,55°F,Milan,capital,port,citadel,walls,plaza,temple,shanty town,{t1:gules;charges:[{charge:scythe;t:or;p:e;t2:or;size:1.5}];shield:heater},https://watabou.github.io/city-generator/?name=Olunaa&population=28846&size=30&seed=8563657060046&river=1&coast=1&farms=1&citadel=1&urban_castle=1&hub=false&plaza=1&temple=1&walls=1&shantytown=1&gates=-1&sea=0.08
47,Marapir,Volaiy,Volaiy Province,Lauyien,Kingdom of Lauyien,Vealian,Deity of High Truth,11544,1494.43,386.93,46.2,26.16,161,55°F,Milan,,port,citadel,walls,plaza,temple,shanty town,{t1:gules;ordinaries:[{ordinary:canton;t:or}];charges:[{charge:inescutcheon;t:azure;p:y;size:0.5};{charge:roundel;t:argent;p:y;size:0.25}];shield:heater},https://watabou.github.io/city-generator/?name=Marapir&population=11544&size=22&seed=8563657060047&river=0&coast=1&farms=1&citadel=1&urban_castle=0&hub=false&plaza=1&temple=1&walls=1&shantytown=1&gates=-1&sea=1.83
48,Ginakio,Leyano,Leyano Province,Lauyien,Kingdom of Lauyien,Vealian,Deity of High Truth,8543,1514.9,418.11,44.68,27.17,13,57°F,Batumi,,port,citadel,walls,plaza,,,{t1:or;charges:[{charge:trefle;t:sable;p:e;size:1.5}];shield:heater},https://watabou.github.io/city-generator/?name=Ginakio&population=8543&size=19&seed=8563657060048&river=0&coast=1&farms=1&citadel=1&urban_castle=1&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1&sea=1.76
49,Arzeape,Amakei,Amakei Province,Lauyien,Kingdom of Lauyien,Vealian,Deity of High Truth,1338,1465.5,490,41.19,24.75,52,59°F,Rome,,port,,,plaza,temple,,{t1:argent;division:{division:perChevronReversed;t:azure;line:straight};charges:[{charge:windmill;t:vert;p:mok;t2:vert;t3:gules;divided:counter;size:0.5}];shield:heater},https://watabou.github.io/city-generator/?name=Arzeape&population=1338&size=10&seed=8563657060049&river=1&coast=1&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=1&walls=0&shantytown=0&gates=-1&sea=0.11
50,Mushaylif,Nildiskog,Nildiskog Province,Evralas,Evralasian Empire,Everoli,Deities of Sands,278,345,422,44.49,-30.11,30,57°F,Batumi,,port,citadel,,plaza,,,{t1:argent;division:{division:perFess;t:gules;line:straight};shield:heater},https://watabou.github.io/city-generator/?name=Mushaylif&population=278&size=6&seed=8563657060050&river=1&coast=1&farms=1&citadel=1&urban_castle=1&hub=false&plaza=1&temple=0&walls=0&shantytown=0&gates=-1&sea=1.05
51,Seiraoeiros,Shuanhua,Shuanhua Province,Lauyien,Kingdom of Lauyien,Vealian,Deity of High Truth,1851,1511.3,457.19,42.78,26.99,161,57°F,Batumi,,,citadel,walls,plaza,,shanty town,{t1:purpure;ordinaries:[{ordinary:gore;t:argent}];charges:[{charge:skeleton;t:or;p:e;size:1.5}];shield:heater},https://watabou.github.io/city-generator/?name=Seiraoeiros&population=1851&size=11&seed=8563657060051&river=1&coast=0&farms=1&citadel=1&urban_castle=0&hub=false&plaza=1&temple=0&walls=1&shantytown=1&gates=-1
